scenario,model,split,evaluation_level,subset,n_samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
combined_all,logreg,val,file,all,116,0.8620689655172413,0.873015873015873,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.9297052154195011,84,14,2,16
combined_all,logreg,val,file,ipvs,70,1.0,1.0,0.0,0.0,0.0,,70,0,0,0
combined_all,logreg,val,file,mdvr-kcl,22,0.7272727272727273,0.75,0.625,1.0,0.7692307692307693,0.8333333333333334,6,6,0,10
combined_all,logreg,val,file,uams,24,0.5833333333333334,0.625,0.42857142857142855,0.75,0.5454545454545454,0.6875,8,8,2,6
combined_all,logreg,val,patient,all,29,0.7241379310344828,0.7694444444444444,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.8333333333333334,13,7,1,8
combined_all,logreg,val,patient,ipvs,6,1.0,1.0,0.0,0.0,0.0,,6,0,0,0
combined_all,logreg,val,patient,mdvr-kcl,11,0.7272727272727273,0.75,0.625,1.0,0.7692307692307693,0.8333333333333334,3,3,0,5
combined_all,logreg,val,patient,uams,12,0.5833333333333334,0.625,0.42857142857142855,0.75,0.5454545454545454,0.6875,4,4,1,3
combined_all,logreg,test,file,all,172,0.9186046511627907,0.9183333333333333,0.9387755102040817,0.92,0.9292929292929293,0.9652777777777779,66,6,8,92
combined_all,logreg,test,file,ipvs,124,0.9838709677419355,0.9875,1.0,0.975,0.9873417721518988,1.0,44,0,2,78
combined_all,logreg,test,file,mdvr-kcl,22,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,10
combined_all,logreg,test,file,uams,26,0.5384615384615384,0.5125,0.4,0.4,0.4,0.5,10,6,6,4
combined_all,logreg,test,patient,all,31,0.8064516129032258,0.7886363636363636,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8181818181818181,17,3,3,8
combined_all,logreg,test,patient,ipvs,7,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,1
combined_all,logreg,test,patient,mdvr-kcl,11,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,5
combined_all,logreg,test,patient,uams,13,0.5384615384615384,0.5125,0.4,0.4,0.4,0.5,5,3,3,2
combined_all,svm,val,file,all,116,0.8620689655172413,0.873015873015873,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.9433106575963719,84,14,2,16
combined_all,svm,val,file,ipvs,70,1.0,1.0,0.0,0.0,0.0,,70,0,0,0
combined_all,svm,val,file,mdvr-kcl,22,0.7272727272727273,0.75,0.625,1.0,0.7692307692307693,0.9,6,6,0,10
combined_all,svm,val,file,uams,24,0.5833333333333334,0.625,0.42857142857142855,0.75,0.5454545454545454,0.65625,8,8,2,6
combined_all,svm,val,patient,all,29,0.7241379310344828,0.7694444444444444,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.8611111111111112,13,7,1,8
combined_all,svm,val,patient,ipvs,6,1.0,1.0,0.0,0.0,0.0,,6,0,0,0
combined_all,svm,val,patient,mdvr-kcl,11,0.7272727272727273,0.75,0.625,1.0,0.7692307692307693,0.9,3,3,0,5
combined_all,svm,val,patient,uams,12,0.5833333333333334,0.625,0.42857142857142855,0.75,0.5454545454545454,0.65625,4,4,1,3
combined_all,svm,test,file,all,172,0.936046511627907,0.9294444444444444,0.9238095238095239,0.97,0.9463414634146341,0.9852777777777778,64,8,3,97
combined_all,svm,test,file,ipvs,124,0.9919354838709677,0.99375,1.0,0.9875,0.9937106918238994,1.0,44,0,1,79
combined_all,svm,test,file,mdvr-kcl,22,1.0,1.0,1.0,1.0,1.0,1.0,12,0,0,10
combined_all,svm,test,file,uams,26,0.6153846153846154,0.65,0.5,0.8,0.6153846153846154,0.675,8,8,2,8
combined_all,svm,test,patient,all,31,0.8387096774193549,0.8545454545454545,0.7142857142857143,0.9090909090909091,0.8,0.9318181818181819,16,4,1,10
combined_all,svm,test,patient,ipvs,7,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,1
