scenario,model,split,evaluation_level,subset,n_samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
cross_ipvs_to_mdvr_kcl,logreg,val,file,all,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.3666666666666667,0,12,0,10
cross_ipvs_to_mdvr_kcl,logreg,val,file,mdvr-kcl,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.3666666666666667,0,12,0,10
cross_ipvs_to_mdvr_kcl,logreg,val,patient,all,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.3666666666666667,0,6,0,5
cross_ipvs_to_mdvr_kcl,logreg,val,patient,mdvr-kcl,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.3666666666666667,0,6,0,5
cross_ipvs_to_mdvr_kcl,logreg,test,file,all,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.6666666666666667,0,12,0,10
cross_ipvs_to_mdvr_kcl,logreg,test,file,mdvr-kcl,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.6666666666666667,0,12,0,10
cross_ipvs_to_mdvr_kcl,logreg,test,patient,all,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.6666666666666667,0,6,0,5
cross_ipvs_to_mdvr_kcl,logreg,test,patient,mdvr-kcl,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.6666666666666667,0,6,0,5
cross_ipvs_to_mdvr_kcl,svm,val,file,all,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.4,0,12,0,10
cross_ipvs_to_mdvr_kcl,svm,val,file,mdvr-kcl,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.4,0,12,0,10
cross_ipvs_to_mdvr_kcl,svm,val,patient,all,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.4,0,6,0,5
cross_ipvs_to_mdvr_kcl,svm,val,patient,mdvr-kcl,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.4,0,6,0,5
cross_ipvs_to_mdvr_kcl,svm,test,file,all,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.6000000000000001,0,12,0,10
cross_ipvs_to_mdvr_kcl,svm,test,file,mdvr-kcl,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.6000000000000001,0,12,0,10
cross_ipvs_to_mdvr_kcl,svm,test,patient,all,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.6000000000000001,0,6,0,5
cross_ipvs_to_mdvr_kcl,svm,test,patient,mdvr-kcl,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.6000000000000001,0,6,0,5
cross_ipvs_to_mdvr_kcl,random_forest,val,file,all,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.6000000000000001,0,12,0,10
cross_ipvs_to_mdvr_kcl,random_forest,val,file,mdvr-kcl,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.6000000000000001,0,12,0,10
cross_ipvs_to_mdvr_kcl,random_forest,val,patient,all,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.6000000000000001,0,6,0,5
cross_ipvs_to_mdvr_kcl,random_forest,val,patient,mdvr-kcl,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.6000000000000001,0,6,0,5
cross_ipvs_to_mdvr_kcl,random_forest,test,file,all,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.8333333333333334,0,12,0,10
cross_ipvs_to_mdvr_kcl,random_forest,test,file,mdvr-kcl,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.8333333333333334,0,12,0,10
cross_ipvs_to_mdvr_kcl,random_forest,test,patient,all,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.8333333333333334,0,6,0,5
cross_ipvs_to_mdvr_kcl,random_forest,test,patient,mdvr-kcl,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.8333333333333334,0,6,0,5
