mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,scenario
1.543262004852295,0.08575780162229324,0.2500267505645752,0.05840844878507573,,,1,300,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,cross_mdvr_kcl_to_ipvs
1.6455961227416993,0.08276428418087162,0.2290797233581543,0.016375926786597363,,,2,300,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,cross_mdvr_kcl_to_ipvs
1.6451704978942872,0.08836687305591352,0.22322139739990235,0.017816513598469638,,,4,300,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.9733333333333334,0.03265986323710903,13,cross_mdvr_kcl_to_ipvs
1.7429316520690918,0.08617171857319379,0.3201855182647705,0.11507088232469267,,10,1,300,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,cross_mdvr_kcl_to_ipvs
1.745173406600952,0.12389531260706507,0.46019930839538575,0.08018142615033845,,10,2,300,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,cross_mdvr_kcl_to_ipvs
1.7427657127380372,0.16408716845990243,0.4562831878662109,0.040523509047776754,,10,4,300,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.9733333333333334,0.03265986323710903,13,cross_mdvr_kcl_to_ipvs
1.9799138069152833,0.2563100434418595,0.40563483238220216,0.09192484975070611,,20,1,300,"{'model__class_weight': None, 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,cross_mdvr_kcl_to_ipvs
2.1656671524047852,0.2124952055739222,0.41846022605895994,0.061173467615770444,,20,2,300,"{'model__class_weight': None, 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,cross_mdvr_kcl_to_ipvs
1.9877564430236816,0.09246422821660487,0.4412416458129883,0.04032458918411859,,20,4,300,"{'model__class_weight': None, 'model__max_depth': 20, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.9733333333333334,0.03265986323710903,13,cross_mdvr_kcl_to_ipvs
2.150498294830322,0.15727800196213748,0.4651810169219971,0.0618442252921936,balanced,,1,300,"{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,cross_mdvr_kcl_to_ipvs
