scenario,model,split,evaluation_level,subset,n_samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
cross_mdvr_kcl_to_ipvs,logreg,val,file,all,70,0.7857142857142857,0.7857142857142857,0.0,0.0,0.0,,55,15,0,0
cross_mdvr_kcl_to_ipvs,logreg,val,file,ipvs,70,0.7857142857142857,0.7857142857142857,0.0,0.0,0.0,,55,15,0,0
cross_mdvr_kcl_to_ipvs,logreg,val,patient,all,6,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,,4,2,0,0
cross_mdvr_kcl_to_ipvs,logreg,val,patient,ipvs,6,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,,4,2,0,0
cross_mdvr_kcl_to_ipvs,logreg,test,file,all,124,0.8629032258064516,0.8272727272727273,0.8539325842696629,0.95,0.8994082840236687,0.9005681818181819,31,13,4,76
cross_mdvr_kcl_to_ipvs,logreg,test,file,ipvs,124,0.8629032258064516,0.8272727272727273,0.8539325842696629,0.95,0.8994082840236687,0.9005681818181819,31,13,4,76
cross_mdvr_kcl_to_ipvs,logreg,test,patient,all,7,0.7142857142857143,0.8333333333333333,0.3333333333333333,1.0,0.5,0.6666666666666667,4,2,0,1
cross_mdvr_kcl_to_ipvs,logreg,test,patient,ipvs,7,0.7142857142857143,0.8333333333333333,0.3333333333333333,1.0,0.5,0.6666666666666667,4,2,0,1
cross_mdvr_kcl_to_ipvs,svm,val,file,all,70,0.0,0.0,0.0,0.0,0.0,,0,70,0,0
cross_mdvr_kcl_to_ipvs,svm,val,file,ipvs,70,0.0,0.0,0.0,0.0,0.0,,0,70,0,0
cross_mdvr_kcl_to_ipvs,svm,val,patient,all,6,0.0,0.0,0.0,0.0,0.0,,0,6,0,0
cross_mdvr_kcl_to_ipvs,svm,val,patient,ipvs,6,0.0,0.0,0.0,0.0,0.0,,0,6,0,0
cross_mdvr_kcl_to_ipvs,svm,test,file,all,124,0.6451612903225806,0.5,0.6451612903225806,1.0,0.7843137254901961,0.6380681818181819,0,44,0,80
cross_mdvr_kcl_to_ipvs,svm,test,file,ipvs,124,0.6451612903225806,0.5,0.6451612903225806,1.0,0.7843137254901961,0.6380681818181819,0,44,0,80
cross_mdvr_kcl_to_ipvs,svm,test,patient,all,7,0.14285714285714285,0.5,0.14285714285714285,1.0,0.25,1.0,0,6,0,1
cross_mdvr_kcl_to_ipvs,svm,test,patient,ipvs,7,0.14285714285714285,0.5,0.14285714285714285,1.0,0.25,1.0,0,6,0,1
cross_mdvr_kcl_to_ipvs,random_forest,val,file,all,70,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,,20,50,0,0
cross_mdvr_kcl_to_ipvs,random_forest,val,file,ipvs,70,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,,20,50,0,0
cross_mdvr_kcl_to_ipvs,random_forest,val,patient,all,6,0.5,0.5,0.0,0.0,0.0,,3,3,0,0
cross_mdvr_kcl_to_ipvs,random_forest,val,patient,ipvs,6,0.5,0.5,0.0,0.0,0.0,,3,3,0,0
cross_mdvr_kcl_to_ipvs,random_forest,test,file,all,124,0.6935483870967742,0.5886363636363636,0.6909090909090909,0.95,0.8,0.5294034090909091,10,34,4,76
cross_mdvr_kcl_to_ipvs,random_forest,test,file,ipvs,124,0.6935483870967742,0.5886363636363636,0.6909090909090909,0.95,0.8,0.5294034090909091,10,34,4,76
cross_mdvr_kcl_to_ipvs,random_forest,test,patient,all,7,0.2857142857142857,0.5833333333333334,0.16666666666666666,1.0,0.2857142857142857,0.5,1,5,0,1
cross_mdvr_kcl_to_ipvs,random_forest,test,patient,ipvs,7,0.2857142857142857,0.5833333333333334,0.16666666666666666,1.0,0.2857142857142857,0.5,1,5,0,1
