scenario,model,split,evaluation_level,subset,n_samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
cross_uams_to_ipvs,logreg,val,file,all,70,0.3,0.3,0.0,0.0,0.0,,21,49,0,0
cross_uams_to_ipvs,logreg,val,file,ipvs,70,0.3,0.3,0.0,0.0,0.0,,21,49,0,0
cross_uams_to_ipvs,logreg,val,patient,all,6,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,,1,5,0,0
cross_uams_to_ipvs,logreg,val,patient,ipvs,6,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,,1,5,0,0
cross_uams_to_ipvs,logreg,test,file,all,124,0.3548387096774194,0.29034090909090904,0.5,0.5125,0.5061728395061729,0.20823863636363638,3,41,39,41
cross_uams_to_ipvs,logreg,test,file,ipvs,124,0.3548387096774194,0.29034090909090904,0.5,0.5125,0.5061728395061729,0.20823863636363638,3,41,39,41
cross_uams_to_ipvs,logreg,test,patient,all,7,0.14285714285714285,0.5,0.14285714285714285,1.0,0.25,0.0,0,6,0,1
cross_uams_to_ipvs,logreg,test,patient,ipvs,7,0.14285714285714285,0.5,0.14285714285714285,1.0,0.25,0.0,0,6,0,1
cross_uams_to_ipvs,svm,val,file,all,70,1.0,1.0,0.0,0.0,0.0,,70,0,0,0
cross_uams_to_ipvs,svm,val,file,ipvs,70,1.0,1.0,0.0,0.0,0.0,,70,0,0,0
cross_uams_to_ipvs,svm,val,patient,all,6,1.0,1.0,0.0,0.0,0.0,,6,0,0,0
cross_uams_to_ipvs,svm,val,patient,ipvs,6,1.0,1.0,0.0,0.0,0.0,,6,0,0,0
cross_uams_to_ipvs,svm,test,file,all,124,0.3548387096774194,0.5,0.0,0.0,0.0,0.46590909090909083,44,0,80,0
cross_uams_to_ipvs,svm,test,file,ipvs,124,0.3548387096774194,0.5,0.0,0.0,0.0,0.46590909090909083,44,0,80,0
cross_uams_to_ipvs,svm,test,patient,all,7,0.8571428571428571,0.5,0.0,0.0,0.0,0.33333333333333337,6,0,1,0
cross_uams_to_ipvs,svm,test,patient,ipvs,7,0.8571428571428571,0.5,0.0,0.0,0.0,0.33333333333333337,6,0,1,0
cross_uams_to_ipvs,random_forest,val,file,all,70,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,,1,69,0,0
cross_uams_to_ipvs,random_forest,val,file,ipvs,70,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,,1,69,0,0
cross_uams_to_ipvs,random_forest,val,patient,all,6,0.0,0.0,0.0,0.0,0.0,,0,6,0,0
cross_uams_to_ipvs,random_forest,val,patient,ipvs,6,0.0,0.0,0.0,0.0,0.0,,0,6,0,0
cross_uams_to_ipvs,random_forest,test,file,all,124,0.6209677419354839,0.48636363636363633,0.6386554621848739,0.95,0.7638190954773869,0.3721590909090909,1,43,4,76
cross_uams_to_ipvs,random_forest,test,file,ipvs,124,0.6209677419354839,0.48636363636363633,0.6386554621848739,0.95,0.7638190954773869,0.3721590909090909,1,43,4,76
cross_uams_to_ipvs,random_forest,test,patient,all,7,0.14285714285714285,0.5,0.14285714285714285,1.0,0.25,0.0,0,6,0,1
cross_uams_to_ipvs,random_forest,test,patient,ipvs,7,0.14285714285714285,0.5,0.14285714285714285,1.0,0.25,0.0,0,6,0,1
