mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,scenario
0.06178865432739258,0.02236926141934765,0.038820934295654294,0.0034912148705446575,0.5,,scale,rbf,"{'model__C': 0.5, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.8571428571428571,0.96,0.9166666666666666,0.8695652173913043,0.8695652173913043,0.8945879917184264,0.03852431774433742,9,cross_uams_to_mdvr_kcl
0.09039516448974609,0.015186603355433441,0.029935359954833984,0.00982258930265808,0.5,,auto,rbf,"{'model__C': 0.5, 'model__class_weight': None, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.8571428571428571,0.96,0.9166666666666666,0.8695652173913043,0.8695652173913043,0.8945879917184264,0.03852431774433742,9,cross_uams_to_mdvr_kcl
0.09966883659362794,0.023120062813244417,0.032206392288208006,0.010858270559442667,0.5,balanced,scale,rbf,"{'model__C': 0.5, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.8888888888888888,0.96,0.8181818181818182,0.8571428571428571,0.9090909090909091,0.8866608946608947,0.04784849492281755,11,cross_uams_to_mdvr_kcl
0.08432655334472657,0.02723833989112985,0.029117536544799805,0.013894059316500335,0.5,balanced,auto,rbf,"{'model__C': 0.5, 'model__class_weight': 'balanced', 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.8888888888888888,0.96,0.8181818181818182,0.8571428571428571,0.9090909090909091,0.8866608946608947,0.04784849492281755,11,cross_uams_to_mdvr_kcl
0.08372631072998046,0.018768063014300625,0.01913294792175293,0.012085601665366144,1.0,,scale,rbf,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.9285714285714286,1.0,1.0,0.9090909090909091,0.88,0.9435324675324676,0.04862837137183338,5,cross_uams_to_mdvr_kcl
0.08992924690246581,0.018272179674671023,0.02598581314086914,0.01110721879096137,1.0,,auto,rbf,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.9285714285714286,1.0,1.0,0.9090909090909091,0.88,0.9435324675324676,0.04862837137183338,5,cross_uams_to_mdvr_kcl
0.09484319686889649,0.01261333657840529,0.03674407005310058,0.004263607201915303,1.0,balanced,scale,rbf,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.9285714285714286,0.96,0.9565217391304348,0.9090909090909091,0.9565217391304348,0.9421411631846415,0.020044934395484396,7,cross_uams_to_mdvr_kcl
0.09374766349792481,0.0207526842821874,0.02506265640258789,0.013636378997721875,1.0,balanced,auto,rbf,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.9285714285714286,0.96,0.9565217391304348,0.9090909090909091,0.9565217391304348,0.9421411631846415,0.020044934395484396,7,cross_uams_to_mdvr_kcl
0.07972955703735352,0.02597021636922408,0.02978816032409668,0.00975210030657548,5.0,,scale,rbf,"{'model__C': 5.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.9285714285714286,1.0,1.0,0.9090909090909091,1.0,0.9675324675324676,0.040238788012544595,1,cross_uams_to_mdvr_kcl
0.09261760711669922,0.01695452833735071,0.02005295753479004,0.007187279182075442,5.0,,auto,rbf,"{'model__C': 5.0, 'model__class_weight': None, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.9285714285714286,1.0,1.0,0.9090909090909091,1.0,0.9675324675324676,0.040238788012544595,1,cross_uams_to_mdvr_kcl
0.07418403625488282,0.010778675570111305,0.01635632514953613,0.005813594155813606,5.0,balanced,scale,rbf,"{'model__C': 5.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.9285714285714286,1.0,1.0,0.9090909090909091,1.0,0.9675324675324676,0.040238788012544595,1,cross_uams_to_mdvr_kcl
0.06700701713562011,0.0060226457056164525,0.012888288497924805,0.0017605825994658761,5.0,balanced,auto,rbf,"{'model__C': 5.0, 'model__class_weight': 'balanced', 'model__gamma': 'auto', 'model__kernel': 'rbf'}",0.9285714285714286,1.0,1.0,0.9090909090909091,1.0,0.9675324675324676,0.040238788012544595,1,cross_uams_to_mdvr_kcl
