scenario,model,split,evaluation_level,subset,n_samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
cross_uams_to_mdvr_kcl,logreg,val,file,all,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.5,0,12,0,10
cross_uams_to_mdvr_kcl,logreg,val,file,mdvr-kcl,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.5,0,12,0,10
cross_uams_to_mdvr_kcl,logreg,val,patient,all,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.5,0,6,0,5
cross_uams_to_mdvr_kcl,logreg,val,patient,mdvr-kcl,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.5,0,6,0,5
cross_uams_to_mdvr_kcl,logreg,test,file,all,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.5,0,12,0,10
cross_uams_to_mdvr_kcl,logreg,test,file,mdvr-kcl,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.5,0,12,0,10
cross_uams_to_mdvr_kcl,logreg,test,patient,all,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.5,0,6,0,5
cross_uams_to_mdvr_kcl,logreg,test,patient,mdvr-kcl,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.5,0,6,0,5
cross_uams_to_mdvr_kcl,svm,val,file,all,22,0.5454545454545454,0.5,0.0,0.0,0.0,0.5,12,0,10,0
cross_uams_to_mdvr_kcl,svm,val,file,mdvr-kcl,22,0.5454545454545454,0.5,0.0,0.0,0.0,0.5,12,0,10,0
cross_uams_to_mdvr_kcl,svm,val,patient,all,11,0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0
cross_uams_to_mdvr_kcl,svm,val,patient,mdvr-kcl,11,0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0
cross_uams_to_mdvr_kcl,svm,test,file,all,22,0.5454545454545454,0.5,0.0,0.0,0.0,0.5,12,0,10,0
cross_uams_to_mdvr_kcl,svm,test,file,mdvr-kcl,22,0.5454545454545454,0.5,0.0,0.0,0.0,0.5,12,0,10,0
cross_uams_to_mdvr_kcl,svm,test,patient,all,11,0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0
cross_uams_to_mdvr_kcl,svm,test,patient,mdvr-kcl,11,0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0
cross_uams_to_mdvr_kcl,random_forest,val,file,all,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.9,0,12,0,10
cross_uams_to_mdvr_kcl,random_forest,val,file,mdvr-kcl,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.9,0,12,0,10
cross_uams_to_mdvr_kcl,random_forest,val,patient,all,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.9,0,6,0,5
cross_uams_to_mdvr_kcl,random_forest,val,patient,mdvr-kcl,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.9,0,6,0,5
cross_uams_to_mdvr_kcl,random_forest,test,file,all,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.43333333333333335,0,12,0,10
cross_uams_to_mdvr_kcl,random_forest,test,file,mdvr-kcl,22,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.43333333333333335,0,12,0,10
cross_uams_to_mdvr_kcl,random_forest,test,patient,all,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.43333333333333335,0,6,0,5
cross_uams_to_mdvr_kcl,random_forest,test,patient,mdvr-kcl,11,0.45454545454545453,0.5,0.45454545454545453,1.0,0.625,0.43333333333333335,0,6,0,5
