scenario,model,split,evaluation_level,subset,n_samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
single_ipvs,logreg,val,file,all,70,1.0,1.0,0.0,0.0,0.0,,70,0,0,0
single_ipvs,logreg,val,file,ipvs,70,1.0,1.0,0.0,0.0,0.0,,70,0,0,0
single_ipvs,logreg,val,patient,all,6,1.0,1.0,0.0,0.0,0.0,,6,0,0,0
single_ipvs,logreg,val,patient,ipvs,6,1.0,1.0,0.0,0.0,0.0,,6,0,0,0
single_ipvs,logreg,test,file,all,124,1.0,1.0,1.0,1.0,1.0,1.0,44,0,0,80
single_ipvs,logreg,test,file,ipvs,124,1.0,1.0,1.0,1.0,1.0,1.0,44,0,0,80
single_ipvs,logreg,test,patient,all,7,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,1
single_ipvs,logreg,test,patient,ipvs,7,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,1
single_ipvs,svm,val,file,all,70,1.0,1.0,0.0,0.0,0.0,,70,0,0,0
single_ipvs,svm,val,file,ipvs,70,1.0,1.0,0.0,0.0,0.0,,70,0,0,0
single_ipvs,svm,val,patient,all,6,1.0,1.0,0.0,0.0,0.0,,6,0,0,0
single_ipvs,svm,val,patient,ipvs,6,1.0,1.0,0.0,0.0,0.0,,6,0,0,0
single_ipvs,svm,test,file,all,124,0.9919354838709677,0.99375,1.0,0.9875,0.9937106918238994,0.9997159090909091,44,0,1,79
single_ipvs,svm,test,file,ipvs,124,0.9919354838709677,0.99375,1.0,0.9875,0.9937106918238994,0.9997159090909091,44,0,1,79
single_ipvs,svm,test,patient,all,7,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,1
single_ipvs,svm,test,patient,ipvs,7,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,1
single_ipvs,random_forest,val,file,all,70,1.0,1.0,0.0,0.0,0.0,,70,0,0,0
single_ipvs,random_forest,val,file,ipvs,70,1.0,1.0,0.0,0.0,0.0,,70,0,0,0
single_ipvs,random_forest,val,patient,all,6,1.0,1.0,0.0,0.0,0.0,,6,0,0,0
single_ipvs,random_forest,val,patient,ipvs,6,1.0,1.0,0.0,0.0,0.0,,6,0,0,0
single_ipvs,random_forest,test,file,all,124,1.0,1.0,1.0,1.0,1.0,1.0,44,0,0,80
single_ipvs,random_forest,test,file,ipvs,124,1.0,1.0,1.0,1.0,1.0,1.0,44,0,0,80
single_ipvs,random_forest,test,patient,all,7,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,1
single_ipvs,random_forest,test,patient,ipvs,7,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,1
