scenario,model,split,evaluation_level,subset,n_samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
single_uams,logreg,val,file,all,24,0.5833333333333334,0.625,0.42857142857142855,0.75,0.5454545454545454,0.78125,8,8,2,6
single_uams,logreg,val,file,uams,24,0.5833333333333334,0.625,0.42857142857142855,0.75,0.5454545454545454,0.78125,8,8,2,6
single_uams,logreg,val,patient,all,12,0.5833333333333334,0.625,0.42857142857142855,0.75,0.5454545454545454,0.78125,4,4,1,3
single_uams,logreg,val,patient,uams,12,0.5833333333333334,0.625,0.42857142857142855,0.75,0.5454545454545454,0.78125,4,4,1,3
single_uams,logreg,test,file,all,26,0.6923076923076923,0.675,0.6,0.6,0.6,0.7,12,4,4,6
single_uams,logreg,test,file,uams,26,0.6923076923076923,0.675,0.6,0.6,0.6,0.7,12,4,4,6
single_uams,logreg,test,patient,all,13,0.6923076923076923,0.675,0.6,0.6,0.6,0.7,6,2,2,3
single_uams,logreg,test,patient,uams,13,0.6923076923076923,0.675,0.6,0.6,0.6,0.7,6,2,2,3
single_uams,svm,val,file,all,24,0.6666666666666666,0.6875,0.5,0.75,0.6,0.59375,10,6,2,6
single_uams,svm,val,file,uams,24,0.6666666666666666,0.6875,0.5,0.75,0.6,0.59375,10,6,2,6
single_uams,svm,val,patient,all,12,0.6666666666666666,0.6875,0.5,0.75,0.6,0.59375,5,3,1,3
single_uams,svm,val,patient,uams,12,0.6666666666666666,0.6875,0.5,0.75,0.6,0.59375,5,3,1,3
single_uams,svm,test,file,all,26,0.6153846153846154,0.575,0.5,0.4,0.4444444444444444,0.625,12,4,6,4
single_uams,svm,test,file,uams,26,0.6153846153846154,0.575,0.5,0.4,0.4444444444444444,0.625,12,4,6,4
single_uams,svm,test,patient,all,13,0.6153846153846154,0.575,0.5,0.4,0.4444444444444444,0.625,6,2,3,2
single_uams,svm,test,patient,uams,13,0.6153846153846154,0.575,0.5,0.4,0.4444444444444444,0.625,6,2,3,2
single_uams,random_forest,val,file,all,24,0.6666666666666666,0.6875,0.5,0.75,0.6,0.6875,10,6,2,6
single_uams,random_forest,val,file,uams,24,0.6666666666666666,0.6875,0.5,0.75,0.6,0.6875,10,6,2,6
single_uams,random_forest,val,patient,all,12,0.6666666666666666,0.6875,0.5,0.75,0.6,0.6875,5,3,1,3
single_uams,random_forest,val,patient,uams,12,0.6666666666666666,0.6875,0.5,0.75,0.6,0.6875,5,3,1,3
single_uams,random_forest,test,file,all,26,0.5384615384615384,0.55,0.42857142857142855,0.6,0.5,0.65,8,8,4,6
single_uams,random_forest,test,file,uams,26,0.5384615384615384,0.55,0.42857142857142855,0.6,0.5,0.65,8,8,4,6
single_uams,random_forest,test,patient,all,13,0.5384615384615384,0.55,0.42857142857142855,0.6,0.5,0.65,4,4,2,3
single_uams,random_forest,test,patient,uams,13,0.5384615384615384,0.55,0.42857142857142855,0.6,0.5,0.65,4,4,2,3
