learning_rate,batch_size,dropout,num_epochs,f1,roc_auc,accuracy,epochs_trained,time_sec
0.0005,16,0.4,15,0.8928774928774929,0.9442857142857143,0.8933333333333333,11,136.8
0.0001,16,0.2,25,0.8860659510341039,0.9535714285714285,0.8866666666666667,14,169.8
0.001,64,0.2,15,0.8792298092351577,0.9428571428571428,0.88,15,166.7
0.001,16,0.5,15,0.8733840022519519,0.9183928571428572,0.8733333333333333,13,154.2
0.0005,32,0.3,25,0.8732714046550217,0.9610714285714286,0.8733333333333333,11,127.3
5e-05,16,0.3,20,0.8731136899204125,0.9489285714285715,0.8733333333333333,20,226.3
0.0001,32,0.3,20,0.8726619452734102,0.9260714285714287,0.8733333333333333,11,132.4
0.0005,32,0.4,20,0.8726619452734102,0.9383928571428571,0.8733333333333333,11,126.6
0.001,128,0.5,25,0.8726619452734102,0.8971428571428571,0.8733333333333333,23,253.2
5e-05,16,0.5,25,0.8723671885454303,0.926607142857143,0.8733333333333333,21,232.6
0.0005,64,0.5,25,0.8660968660968661,0.9292857142857143,0.8666666666666667,15,174.1
0.0005,32,0.2,25,0.8654761904761904,0.9198214285714286,0.8666666666666667,18,208.7
0.001,16,0.4,25,0.8600560024889995,0.9344642857142857,0.86,10,118.5
5e-05,32,0.2,25,0.8597572362278244,0.8992857142857144,0.86,12,136.0
0.0005,32,0.5,15,0.8585548952142634,0.9364285714285714,0.86,12,135.1
0.0001,16,0.5,20,0.8529680365296803,0.9032142857142856,0.8533333333333334,17,217.2
0.0005,32,0.3,15,0.8527065527065526,0.9398214285714286,0.8533333333333334,10,117.8
0.001,16,0.5,20,0.8523919890651928,0.9439285714285713,0.8533333333333334,11,126.7
0.0001,16,0.3,15,0.8523919890651928,0.9203571428571428,0.8533333333333334,11,129.9
0.001,32,0.3,20,0.8523919890651928,0.9030357142857143,0.8533333333333334,10,116.5
0.0005,16,0.2,15,0.8520238095238095,0.9060714285714286,0.8533333333333334,15,193.1
0.001,64,0.3,25,0.8516013598139202,0.9521428571428572,0.8533333333333334,16,182.6
0.001,16,0.4,15,0.8516013598139202,0.9557142857142857,0.8533333333333334,11,126.2
0.001,16,0.2,20,0.8465917003718683,0.9335714285714286,0.8466666666666667,10,117.3
0.0005,16,0.5,20,0.8461549870226177,0.9355357142857144,0.8466666666666667,8,94.6
5e-05,32,0.5,20,0.8461549870226177,0.92375,0.8466666666666667,9,103.7
0.0005,16,0.5,10,0.8458539337520229,0.9278571428571428,0.8466666666666667,10,125.3
0.001,32,0.5,20,0.8458539337520229,0.9360714285714286,0.8466666666666667,19,220.1
0.001,64,0.3,20,0.8454971229760472,0.8907142857142858,0.8466666666666667,20,226.1
0.001,16,0.2,15,0.8446136163479767,0.9535714285714286,0.8466666666666667,10,116.1
0.0005,16,0.2,20,0.8446136163479767,0.9457142857142857,0.8466666666666667,10,122.8
0.001,32,0.4,20,0.8398293029871977,0.89,0.84,12,141.8
0.001,16,0.3,25,0.839601494396015,0.9192857142857144,0.84,11,129.6
0.0001,128,0.3,15,0.8385714285714286,0.9055357142857142,0.84,15,182.4
0.0001,32,0.4,25,0.8381105743424584,0.91625,0.84,11,139.8
0.0001,16,0.4,25,0.8375896700143471,0.937142857142857,0.84,12,156.5
0.0005,32,0.3,20,0.8375896700143471,0.9739285714285715,0.84,15,179.5
0.0005,128,0.3,25,0.8375896700143471,0.9233928571428571,0.84,21,230.8
0.001,32,0.2,20,0.8327771598071931,0.9458928571428572,0.8333333333333334,19,221.3
0.0001,32,0.5,25,0.8324499279913292,0.9217857142857143,0.8333333333333334,10,124.5
0.001,16,0.5,10,0.8320620901913556,0.9710714285714286,0.8333333333333334,10,120.1
0.001,32,0.4,10,0.8320620901913556,0.9101785714285715,0.8333333333333334,10,119.2
0.0001,32,0.4,20,0.8316129704931707,0.8980357142857143,0.8333333333333334,17,210.4
0.0005,16,0.2,10,0.8316129704931707,0.9323214285714286,0.8333333333333334,9,114.5
0.0005,32,0.5,10,0.8311017568999747,0.9108928571428571,0.8333333333333334,10,112.4
5e-05,64,0.4,15,0.8305274971941637,0.9105357142857142,0.8333333333333334,15,165.5
0.0005,32,0.4,10,0.8305274971941637,0.9430357142857143,0.8333333333333334,10,113.8
0.0005,64,0.4,25,0.8305274971941637,0.9157142857142857,0.8333333333333334,13,148.8
0.0005,32,0.2,10,0.8305274971941637,0.9339285714285716,0.8333333333333334,10,114.7
0.0005,32,0.2,20,0.8305274971941637,0.9330357142857144,0.8333333333333334,15,173.6
0.001,16,0.3,15,0.8305274971941637,0.9308928571428571,0.8333333333333334,15,175.0
0.001,32,0.5,10,0.8251190476190476,0.8892857142857143,0.8266666666666667,10,120.6
0.0005,32,0.4,15,0.8240554758488761,0.9353571428571429,0.8266666666666667,10,115.5
0.001,128,0.3,20,0.8240554758488761,0.8867857142857143,0.8266666666666667,20,222.1
0.001,16,0.4,20,0.8240554758488761,0.9614285714285715,0.8266666666666667,12,137.7
0.001,32,0.2,25,0.8240554758488761,0.9675,0.8266666666666667,14,160.5
5e-05,16,0.2,15,0.8240554758488761,0.9382142857142857,0.8266666666666667,15,165.9
0.001,32,0.5,15,0.8240554758488761,0.9096428571428571,0.8266666666666667,11,129.7
0.001,64,0.2,10,0.8234250434574117,0.9092857142857144,0.8266666666666667,10,117.8
0.0005,64,0.4,20,0.8234250434574117,0.9398214285714286,0.8266666666666667,20,226.0
0.001,64,0.3,15,0.8234250434574117,0.9366071428571429,0.8266666666666667,15,171.1
0.001,32,0.2,10,0.8234250434574117,0.9130357142857143,0.8266666666666667,10,115.0
0.0001,32,0.2,25,0.8234250434574117,0.9348214285714286,0.8266666666666667,14,171.5
0.0001,64,0.3,25,0.8190459222306355,0.8971428571428571,0.82,20,242.9
0.0005,32,0.2,15,0.8190459222306355,0.875357142857143,0.82,15,174.6
5e-05,16,0.2,20,0.818627057406664,0.8996428571428572,0.82,10,105.1
0.0005,128,0.4,25,0.818627057406664,0.8760714285714284,0.82,25,276.6
