scenario,selected_model,final_fit_splits,n_train,n_val,n_test,patient_test_accuracy,patient_test_balanced_accuracy,patient_test_precision,patient_test_recall,patient_test_f1,patient_test_roc_auc,file_test_accuracy,file_test_balanced_accuracy,file_test_precision,file_test_recall,file_test_f1,file_test_roc_auc
single_uams,cnn_baseline,"train,val",112,24,26,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.75,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.75
single_mdvr_kcl,cnn_baseline,"train,val",102,22,22,0.7272727272727273,0.7272727272727273,0.7393939393939394,0.7272727272727273,0.7272727272727273,0.9333333333333333,0.7272727272727273,0.7272727272727273,0.7393939393939394,0.7272727272727273,0.7272727272727273,0.9333333333333333
single_ipvs,cnn_baseline,"train,val",557,150,124,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8744588744588745,1.0,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8744588744588745,1.0
cross_uams_to_mdvr_kcl,cnn_baseline,"train,val",112,24,22,0.5454545454545454,0.5454545454545454,0.29752066115702475,0.5454545454545454,0.3850267379679144,0.6333333333333333,0.5454545454545454,0.5454545454545454,0.29752066115702475,0.5454545454545454,0.3850267379679144,0.6333333333333333
cross_uams_to_ipvs,cnn_baseline,"train,val",112,24,124,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.0
cross_mdvr_kcl_to_uams,cnn_baseline,"train,val",102,22,26,0.6153846153846154,0.6153846153846154,0.37869822485207105,0.6153846153846154,0.46886446886446886,0.7250000000000001,0.6153846153846154,0.6153846153846154,0.37869822485207105,0.6153846153846154,0.46886446886446886,0.7250000000000001
cross_mdvr_kcl_to_ipvs,cnn_baseline,"train,val",102,22,124,0.8571428571428571,0.8571428571428571,0.7346938775510203,0.8571428571428571,0.7912087912087912,0.6666666666666667,0.8571428571428571,0.8571428571428571,0.7346938775510203,0.8571428571428571,0.7912087912087912,0.6666666666666667
cross_ipvs_to_mdvr_kcl,cnn_baseline,"train,val",557,150,22,0.45454545454545453,0.45454545454545453,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.4,0.45454545454545453,0.45454545454545453,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.4
cross_ipvs_to_uams,cnn_baseline,"train,val",557,150,26,0.6153846153846154,0.6153846153846154,0.631868131868132,0.6153846153846154,0.62004662004662,0.525,0.6153846153846154,0.6153846153846154,0.631868131868132,0.6153846153846154,0.62004662004662,0.525
combined_all,cnn_baseline,"train,val",771,196,172,0.8023255813953488,0.8023255813953488,0.8045058139534884,0.8023255813953488,0.8029797714183097,0.8976388888888889,0.8023255813953488,0.8023255813953488,0.8045058139534884,0.8023255813953488,0.8029797714183097,0.8976388888888889
single_uams,transfer_learning,"train,val",112,24,26,0.6923076923076923,0.6923076923076923,0.6871794871794872,0.6923076923076923,0.6709401709401709,0.5,0.6923076923076923,0.6923076923076923,0.6871794871794872,0.6923076923076923,0.6709401709401709,0.5
single_mdvr_kcl,transfer_learning,"train,val",102,22,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
single_ipvs,transfer_learning,"train,val",557,150,124,0.7142857142857143,0.7142857142857143,0.9047619047619048,0.7142857142857143,0.7571428571428572,1.0,0.7142857142857143,0.7142857142857143,0.9047619047619048,0.7142857142857143,0.7571428571428572,1.0
cross_uams_to_mdvr_kcl,transfer_learning,"train,val",112,24,22,0.5454545454545454,0.5454545454545454,0.29752066115702475,0.5454545454545454,0.3850267379679144,0.26666666666666666,0.5454545454545454,0.5454545454545454,0.29752066115702475,0.5454545454545454,0.3850267379679144,0.26666666666666666
cross_uams_to_ipvs,transfer_learning,"train,val",112,24,124,0.8571428571428571,0.8571428571428571,0.7346938775510203,0.8571428571428571,0.7912087912087912,0.6666666666666667,0.8571428571428571,0.8571428571428571,0.7346938775510203,0.8571428571428571,0.7912087912087912,0.6666666666666667
cross_mdvr_kcl_to_uams,transfer_learning,"train,val",102,22,26,0.6153846153846154,0.6153846153846154,0.583916083916084,0.6153846153846154,0.5633314054366685,0.675,0.6153846153846154,0.6153846153846154,0.583916083916084,0.6153846153846154,0.5633314054366685,0.675
cross_mdvr_kcl_to_ipvs,transfer_learning,"train,val",102,22,124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cross_ipvs_to_mdvr_kcl,transfer_learning,"train,val",557,150,22,0.5454545454545454,0.5454545454545454,0.5303030303030304,0.5454545454545454,0.4935064935064935,0.3666666666666667,0.5454545454545454,0.5454545454545454,0.5303030303030304,0.5454545454545454,0.4935064935064935,0.3666666666666667
cross_ipvs_to_uams,transfer_learning,"train,val",557,150,26,0.46153846153846156,0.46153846153846156,0.5134615384615384,0.46153846153846156,0.46153846153846156,0.575,0.46153846153846156,0.46153846153846156,0.5134615384615384,0.46153846153846156,0.46153846153846156,0.575
combined_all,transfer_learning,"train,val",771,196,172,0.8604651162790697,0.8604651162790697,0.8657229524772497,0.8604651162790697,0.8612301101591187,0.955,0.8604651162790697,0.8604651162790697,0.8657229524772497,0.8604651162790697,0.8612301101591187,0.955
single_uams,densenet,"train,val",112,24,26,0.6153846153846154,0.6153846153846154,0.37869822485207105,0.6153846153846154,0.46886446886446886,0.275,0.6153846153846154,0.6153846153846154,0.37869822485207105,0.6153846153846154,0.46886446886446886,0.275
single_mdvr_kcl,densenet,"train,val",102,22,22,0.5454545454545454,0.5454545454545454,0.538961038961039,0.5454545454545454,0.5376845376845377,0.4666666666666667,0.5454545454545454,0.5454545454545454,0.538961038961039,0.5454545454545454,0.5376845376845377,0.4666666666666667
single_ipvs,densenet,"train,val",557,150,124,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8744588744588745,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8744588744588745,0.8333333333333334
cross_uams_to_mdvr_kcl,densenet,"train,val",112,24,22,0.36363636363636365,0.36363636363636365,0.3522727272727273,0.36363636363636365,0.33100233100233106,0.6,0.36363636363636365,0.36363636363636365,0.3522727272727273,0.36363636363636365,0.33100233100233106,0.6
cross_uams_to_ipvs,densenet,"train,val",112,24,124,0.42857142857142855,0.42857142857142855,0.8857142857142858,0.42857142857142855,0.4761904761904762,0.8333333333333334,0.42857142857142855,0.42857142857142855,0.8857142857142858,0.42857142857142855,0.4761904761904762,0.8333333333333334
cross_mdvr_kcl_to_uams,densenet,"train,val",102,22,26,0.38461538461538464,0.38461538461538464,0.44755244755244755,0.38461538461538464,0.3153846153846154,0.4,0.38461538461538464,0.38461538461538464,0.44755244755244755,0.38461538461538464,0.3153846153846154,0.4
cross_mdvr_kcl_to_ipvs,densenet,"train,val",102,22,124,0.7142857142857143,0.7142857142857143,0.9047619047619048,0.7142857142857143,0.7571428571428572,0.6666666666666667,0.7142857142857143,0.7142857142857143,0.9047619047619048,0.7142857142857143,0.7571428571428572,0.6666666666666667
cross_ipvs_to_mdvr_kcl,densenet,"train,val",557,150,22,0.45454545454545453,0.45454545454545453,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.3333333333333333,0.45454545454545453,0.45454545454545453,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.3333333333333333
cross_ipvs_to_uams,densenet,"train,val",557,150,26,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.55,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.55
combined_all,densenet,"train,val",771,196,172,0.7441860465116279,0.7441860465116279,0.745308431354943,0.7441860465116279,0.7446462072139041,0.8188888888888889,0.7441860465116279,0.7441860465116279,0.745308431354943,0.7441860465116279,0.7446462072139041,0.8188888888888889
